Institución;Solicitud;Estado actual;Fecha de creación;Fecha de vencimiento
Secretaria de Finanzas (SEFIN);SOL-SEFIN-203-2015;Entregada en plazo;7 de Diciembre de 2015 a las 15:41;21 de Diciembre de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-204-2015;Entregada en plazo;7 de Diciembre de 2015 a las 15:59;21 de Diciembre de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-205-2015;Entregada en plazo;8 de Diciembre de 2015 a las 11:21;22 de Diciembre de 2015
Secretario de Infraestructura y Servicios Publicos (INSEP);SOL-INSEP-10-2015;No respondida;8 de Diciembre de 2015 a las 11:50;22 de Diciembre de 2015
Poder Judicial(PJ);SOL-PJ-337-2015;Entregada en plazo;8 de Diciembre de 2015 a las 13:28;11 de Enero de 2016
Secretaria de Relaciones Exteriores (SRE);SOL-SRE-73-2015;Entregada en plazo;8 de Diciembre de 2015 a las 14:09;22 de Diciembre de 2015
Ministerio Publico (MP);SOL-MP-51-2015;Entregada fuera de plazo;8 de Diciembre de 2015 a las 14:36;7 de Enero de 2016
Secretaria de Educacion;SOL-SDE-727-2015;No respondida;8 de Diciembre de 2015 a las 17:13;22 de Diciembre de 2015
Secretaria de Salud;SOL-SDS-65-2015;Entregada fuera de plazo;8 de Diciembre de 2015 a las 17:19;22 de Diciembre de 2015
Secretaria de Educacion;SOL-SDE-728-2015;No respondida;9 de Diciembre de 2015 a las 08:51;23 de Diciembre de 2015
Secretaria de Educacion;SOL-SDE-729-2015;No respondida;9 de Diciembre de 2015 a las 09:26;23 de Diciembre de 2015
Secretaria de Educacion;SOL-SDE-730-2015;No respondida;9 de Diciembre de 2015 a las 10:38;23 de Diciembre de 2015
Colegio de Abogados de Honduras;SOL-CAH-6-2015;Entregada fuera de plazo;9 de Diciembre de 2015 a las 11:40;19 de Diciembre de 2015
Secretaria de Estado en los Despachos de Gobernacion , Justicia, y Descentralizacion (SGJD);SOL-SDHJGD-87-2015;Entregada en plazo;9 de Diciembre de 2015 a las 12:33;28 de Diciembre de 2015
Secretaria de Estado en los Despachos de Gobernacion , Justicia, y Descentralizacion (SGJD);SOL-SDHJGD-88-2015;Entregada fuera de plazo;9 de Diciembre de 2015 a las 12:41;23 de Diciembre de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-206-2015;Entregada en plazo;9 de Diciembre de 2015 a las 14:54;23 de Diciembre de 2015
Direccion de Investigacion y Evaluacion de la Carrera Policial (DIECP);SOL-DIECP-5-2015;No respondida;9 de Diciembre de 2015 a las 15:20;23 de Diciembre de 2015
Secretaria de Educacion;SOL-SDE-731-2015;No respondida;9 de Diciembre de 2015 a las 17:11;23 de Diciembre de 2015
Instituto de Prevision del Magisterio (INPREMA);SOL-INPREMA-54-2015;Entregada en plazo;9 de Diciembre de 2015 a las 21:12;28 de Diciembre de 2015
Poder Judicial(PJ);SOL-PJ-338-2015;Entregada en plazo;10 de Diciembre de 2015 a las 09:58;13 de Enero de 2016
Secretaria de Educacion;SOL-SDE-732-2015;No respondida;10 de Diciembre de 2015 a las 10:09;28 de Diciembre de 2015
Poder Judicial(PJ);SOL-PJ-339-2015;Entregada en plazo;10 de Diciembre de 2015 a las 10:22;13 de Enero de 2016
Universidad Nacional Autonoma de Honduras (UNAH);SOL-UNAH-197-2015;No respondida;10 de Diciembre de 2015 a las 11:57;28 de Diciembre de 2015
Poder Judicial(PJ);SOL-PJ-340-2015;Entregada en plazo;10 de Diciembre de 2015 a las 14:37;13 de Enero de 2016
Poder Judicial(PJ);SOL-PJ-341-2015;Entregada en plazo;10 de Diciembre de 2015 a las 14:49;13 de Enero de 2016
Alcaldia Municipal del Distrito Central (AMDC);SOL-AMDC-60-2015;Entregada en plazo;10 de Diciembre de 2015 a las 15:42;11 de Enero de 2016
Comision Permanente de Contingencias;SOL-COPECO-88-2015;Entregada en plazo;11 de Diciembre de 2015 a las 10:05;29 de Diciembre de 2015
Empresa Nacional Portuaria (ENP);SOL-ENP-16-2015;Entregada en plazo;11 de Diciembre de 2015 a las 14:29;29 de Diciembre de 2015
Secretaria de Relaciones Exteriores (SRE);SOL-SRE-74-2015;Entregada en plazo;11 de Diciembre de 2015 a las 16:56;5 de Enero de 2016
Secretaria de Educacion;SOL-SDE-733-2015;No respondida;12 de Diciembre de 2015 a las 16:47;29 de Diciembre de 2015
Universidad Pedagogica Nacional Francisco Morazan (UPNFM);SOL-UPNFM-75-2015;Entregada en plazo;13 de Diciembre de 2015 a las 00:28;29 de Diciembre de 2015
Secretaria de Educacion;SOL-SDE-734-2015;No respondida;14 de Diciembre de 2015 a las 11:16;30 de Diciembre de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-207-2015;Entregada en plazo;14 de Diciembre de 2015 a las 15:38;30 de Diciembre de 2015
Secretaria de Desarrollo e Inclusion Social (SEDIS);SOL-SEDIS-15-2015;Entregada fuera de plazo;14 de Diciembre de 2015 a las 16:07;30 de Diciembre de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-208-2015;Entregada en plazo;14 de Diciembre de 2015 a las 16:42;30 de Diciembre de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-209-2015;Entregada en plazo;14 de Diciembre de 2015 a las 16:44;30 de Diciembre de 2015
Alcaldia Municipal de Ocotepeque;SOL-AMOCO-2-2015;Entregada en plazo;15 de Diciembre de 2015 a las 00:29;4 de Enero de 2016
Secretaria de Educacion;SOL-SDE-735-2015;No respondida;15 de Diciembre de 2015 a las 08:39;4 de Enero de 2016
Secretaria de Educacion;SOL-SDE-736-2015;No respondida;15 de Diciembre de 2015 a las 14:37;4 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-102-2015;Entregada en plazo;16 de Diciembre de 2015 a las 09:31;5 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-103-2015;Entregada en plazo;16 de Diciembre de 2015 a las 09:37;5 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-104-2015;Entregada en plazo;16 de Diciembre de 2015 a las 09:41;5 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-105-2015;Entregada en plazo;16 de Diciembre de 2015 a las 09:44;5 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-106-2015;Entregada en plazo;16 de Diciembre de 2015 a las 11:56;5 de Enero de 2016
Secretaria de Relaciones Exteriores (SRE);SOL-SRE-75-2015;Entregada fuera de plazo;16 de Diciembre de 2015 a las 14:28;8 de Enero de 2016
Cuenta del Desafio del Milenio Honduras (MCA-Honduras);SOL-MCA-HONDURAS-6-2015;Entregada en plazo;16 de Diciembre de 2015 a las 15:04;5 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-107-2015;Entregada en plazo;16 de Diciembre de 2015 a las 15:52;5 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-108-2015;Entregada en plazo;16 de Diciembre de 2015 a las 16:00;5 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-109-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:00;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-110-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:02;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-111-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:04;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-112-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:07;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-113-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:10;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-114-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:12;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-115-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:14;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-116-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:17;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-117-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:19;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-118-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:23;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-119-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:24;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-120-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:26;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-121-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:29;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-122-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:31;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-123-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:34;6 de Enero de 2016
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-124-2015;Entregada en plazo;17 de Diciembre de 2015 a las 10:36;6 de Enero de 2016
Poder Judicial(PJ);SOL-PJ-342-2015;Entregada en plazo;17 de Diciembre de 2015 a las 13:58;18 de Enero de 2016
Alcaldia Municipal del Distrito Central (AMDC);SOL-AMDC-61-2015;Entregada en plazo;17 de Diciembre de 2015 a las 15:55;6 de Enero de 2016
Hospital Escuela Universitario (HEU);SOL-HEU-22-2015;No respondida;17 de Diciembre de 2015 a las 16:53;6 de Enero de 2016
Secretaria de Salud;SOL-SDS-66-2015;Entregada en plazo;18 de Diciembre de 2015 a las 11:18;7 de Enero de 2016
Secretaria de Salud;SOL-SDS-67-2015;Entregada en plazo;18 de Diciembre de 2015 a las 11:21;7 de Enero de 2016
Secretaria de Educacion;SOL-SDE-737-2015;No respondida;18 de Diciembre de 2015 a las 15:20;7 de Enero de 2016
Instituto Nacional de Estadistica (INE);SOL-INE-26-2015;Entregada en plazo;18 de Diciembre de 2015 a las 16:21;7 de Enero de 2016
Empresa Nacional de Energia Electrica (ENEE);SOL-ENEE-19-2015;No respondida;18 de Diciembre de 2015 a las 16:23;7 de Enero de 2016
Congreso Nacional;SOL-CN-46-2015;No respondida;21 de Diciembre de 2015 a las 09:34;8 de Enero de 2016
Secretaria de Agricultura y Ganaderia (SAG);SOL-SAG-83-2015;Entregada en plazo;21 de Diciembre de 2015 a las 14:58;8 de Enero de 2016
Secretaria de Finanzas (SEFIN);SOL-SEFIN-210-2015;Entregada en plazo;21 de Diciembre de 2015 a las 15:28;8 de Enero de 2016
Alcaldia Municipal de Lepaera;SOL-AMLEP-3-2015;Entregada en plazo;25 de Diciembre de 2015 a las 09:50;12 de Enero de 2016
Secretaria de Finanzas (SEFIN);SOL-SEFIN-211-2015;Entregada en plazo;28 de Diciembre de 2015 a las 11:28;13 de Enero de 2016
Secretaria de Finanzas (SEFIN);SOL-SEFIN-212-2015;Entregada en plazo;28 de Diciembre de 2015 a las 15:05;13 de Enero de 2016
Secretaria de Educacion;SOL-SDE-738-2015;No respondida;29 de Diciembre de 2015 a las 09:49;14 de Enero de 2016
Secretaria de Salud;SOL-SDS-68-2015;Entregada fuera de plazo;29 de Diciembre de 2015 a las 10:46;28 de Enero de 2016
Secretaria de Educacion;SOL-SDE-739-2015;Entregada en plazo;29 de Diciembre de 2015 a las 10:55;14 de Enero de 2016
Universidad Nacional Autonoma de Honduras (UNAH);SOL-UNAH-198-2015;No respondida;29 de Diciembre de 2015 a las 11:51;14 de Enero de 2016
Secretaria de Salud;SOL-SDS-69-2015;Entregada en plazo;29 de Diciembre de 2015 a las 14:12;14 de Enero de 2016
Secretaria de Salud;SOL-SDS-70-2015;Entregada fuera de plazo;30 de Diciembre de 2015 a las 09:31;15 de Enero de 2016
Secretaria de Educacion;SOL-SDE-740-2016;Entregada en plazo;1 de Enero de 2016 a las 13:35;27 de Enero de 2016
Instituto de Acceso a la Informacion Publica (IAIP);SOL-IAIP-101-2016;Entregada en plazo;2 de Enero de 2016 a las 18:57;15 de Enero de 2016
Secretaria de Relaciones Exteriores (SRE);SOL-SRE-75-2016;Entregada en plazo;4 de Enero de 2016 a las 09:42;18 de Enero de 2016
Secretaria de Seguridad;SOL-SSSS-39-2016;Entregada en plazo;4 de Enero de 2016 a las 10:47;18 de Enero de 2016
Instituto Nacional Agrario (INA);SOL-INA-41-2016;Entregada fuera de plazo;4 de Enero de 2016 a las 18:42;18 de Enero de 2016
Instituto de Prevision Social del Profesional del Derecho;SOL-IPSPD-12-2016;Entregada en plazo;5 de Enero de 2016 a las 10:28;2 de Febrero de 2016
Secretaria de Finanzas (SEFIN);SOL-SEFIN-212-2016;Entregada en plazo;5 de Enero de 2016 a las 10:29;19 de Enero de 2016
Instituto de Prevision Social del Profesional del Derecho;SOL-IPSPD-13-2016;Entregada en plazo;5 de Enero de 2016 a las 10:32;2 de Febrero de 2016
Instituto de Prevision Social del Profesional del Derecho;SOL-IPSPD-14-2016;Entregada en plazo;5 de Enero de 2016 a las 10:45;2 de Febrero de 2016
Instituto de Prevision Social del Profesional del Derecho;SOL-IPSPD-15-2016;Entregada en plazo;5 de Enero de 2016 a las 10:58;2 de Febrero de 2016
Colegio de Abogados de Honduras;SOL-CAH-7-2016;Entregada en plazo;5 de Enero de 2016 a las 11:45;19 de Enero de 2016
Secretaria de la Presidencia (SDP);SOL-SDP-20-2016;Entregada en plazo;5 de Enero de 2016 a las 11:58;19 de Enero de 2016
Secretaria de Educacion;SOL-SDE-741-2016;Entregada en plazo;5 de Enero de 2016 a las 13:16;19 de Enero de 2016
Secretaria de Agricultura y Ganaderia (SAG);SOL-SAG-84-2016;Entregada en plazo;5 de Enero de 2016 a las 15:40;19 de Enero de 2016
Secretaria de Agricultura y Ganaderia (SAG);SOL-SAG-85-2016;Entregada en plazo;5 de Enero de 2016 a las 16:45;19 de Enero de 2016
Secretaria de Educacion;SOL-SDE-742-2016;Entregada en plazo;6 de Enero de 2016 a las 11:52;20 de Enero de 2016
Secretaria de Educacion;SOL-SDE-743-2016;Entregada en plazo;6 de Enero de 2016 a las 18:24;20 de Enero de 2016
Poder Judicial(PJ);SOL-PJ-342-2016;Entregada en plazo;7 de Enero de 2016 a las 10:15;21 de Enero de 2016
Poder Judicial(PJ);SOL-PJ-343-2016;Entregada en plazo;7 de Enero de 2016 a las 11:03;21 de Enero de 2016
ACI- PARTICIPA;SOL-ONG-15-2016;No respondida;7 de Enero de 2016 a las 11:43;21 de Enero de 2016
Alcaldia Municipal El Progreso;SOL-PROGRESO-4-2016;Entregada fuera de plazo;7 de Enero de 2016 a las 14:20;21 de Enero de 2016
Cuenta del Desafio del Milenio Honduras (MCA-Honduras);SOL-MCA-HONDURAS-7-2016;Entregada en plazo;7 de Enero de 2016 a las 16:20;21 de Enero de 2016
Secretaria de Educacion;SOL-SDE-744-2016;Entregada en plazo;7 de Enero de 2016 a las 18:27;21 de Enero de 2016
Secretaria de Educacion;SOL-SDE-745-2016;Entregada fuera de plazo;8 de Enero de 2016 a las 12:10;22 de Enero de 2016
Secretaria de Agricultura y Ganaderia (SAG);SOL-SAG-86-2016;Entregada en plazo;8 de Enero de 2016 a las 13:47;22 de Enero de 2016
Poder Judicial(PJ);SOL-PJ-344-2016;Entregada en plazo;8 de Enero de 2016 a las 16:15;22 de Enero de 2016
Secretaria de Educacion;SOL-SDE-746-2016;Entregada fuera de plazo;8 de Enero de 2016 a las 19:18;22 de Enero de 2016
Banco Central de Honduras (BCH);SOL-BCH-36-2016;No respondida;9 de Enero de 2016 a las 22:52;22 de Enero de 2016
Centro Nacional de Educacion para el Trabajo(CENET);SOL-CENET-6-2016;Entregada en plazo;10 de Enero de 2016 a las 21:15;22 de Enero de 2016
Secretaria de Educacion;SOL-SDE-747-2016;No respondida;11 de Enero de 2016 a las 09:52;25 de Enero de 2016
Secretaria de Desarrollo Economico;SOL-SCDSEC-192-2016;Entregada en plazo;11 de Enero de 2016 a las 15:46;25 de Enero de 2016
Secretaria de Estado en los Despachos de Gobernacion , Justicia, y Descentralizacion (SGJD);SOL-SDHJGD-89-2016;Entregada en plazo;11 de Enero de 2016 a las 20:47;25 de Enero de 2016
Secretaria de Finanzas (SEFIN);SOL-SEFIN-213-2016;Entregada en plazo;12 de Enero de 2016 a las 10:29;26 de Enero de 2016
Instituto Nacional Agrario (INA);SOL-INA-42-2016;Entregada fuera de plazo;12 de Enero de 2016 a las 14:32;26 de Enero de 2016
Secretaria de Educacion;SOL-SDE-748-2016;Entregada en plazo;12 de Enero de 2016 a las 20:10;26 de Enero de 2016
Alcaldia Municipal del Distrito Central (AMDC);SOL-AMDC-62-2016;Entregada en plazo;12 de Enero de 2016 a las 22:02;26 de Enero de 2016
Poder Judicial(PJ);SOL-PJ-345-2016;Entregada en plazo;13 de Enero de 2016 a las 10:13;27 de Enero de 2016
Secretaria de Finanzas (SEFIN);SOL-SEFIN-215-2016;Entregada en plazo;13 de Enero de 2016 a las 13:31;27 de Enero de 2016
Poder Judicial(PJ);SOL-PJ-346-2016;Entregada en plazo;13 de Enero de 2016 a las 13:44;27 de Enero de 2016
Instituto de Acceso a la Informacion Publica (IAIP);SOL-IAIP-102-2016;Entregada en plazo;14 de Enero de 2016 a las 11:00;28 de Enero de 2016
Secretaria de Defensa;SOL-SDD-26-2016;Entregada en plazo;14 de Enero de 2016 a las 11:04;28 de Enero de 2016
Secretaria de Educacion;SOL-SDE-749-2016;No respondida;14 de Enero de 2016 a las 22:01;28 de Enero de 2016
Secretaria de Educacion;SOL-SDE-750-2016;Entregada fuera de plazo;15 de Enero de 2016 a las 09:52;29 de Enero de 2016
Poder Judicial(PJ);SOL-PJ-347-2016;Entregada en plazo;15 de Enero de 2016 a las 09:52;29 de Enero de 2016
Poder Judicial(PJ);SOL-PJ-348-2016;Entregada en plazo;15 de Enero de 2016 a las 10:16;15 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-751-2016;No respondida;15 de Enero de 2016 a las 10:27;29 de Enero de 2016
ACI- PARTICIPA;SOL-ONG-16-2016;No respondida;15 de Enero de 2016 a las 12:05;29 de Enero de 2016
Secretaria de Educacion;SOL-SDE-752-2016;No respondida;15 de Enero de 2016 a las 20:20;29 de Enero de 2016
ACI- PARTICIPA;SOL-ONG-17-2016;No respondida;17 de Enero de 2016 a las 16:07;29 de Enero de 2016
Poder Judicial(PJ);SOL-PJ-349-2016;Entregada en plazo;18 de Enero de 2016 a las 10:36;1 de Febrero de 2016
Banco Nacional de Desarrollo Agricola (BANADESA);SOL-BANADESA-12-2016;Entregada en plazo;18 de Enero de 2016 a las 16:29;1 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-753-2016;Entregada fuera de plazo;18 de Enero de 2016 a las 20:03;1 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-754-2016;No respondida;19 de Enero de 2016 a las 09:46;2 de Febrero de 2016
Poder Judicial(PJ);SOL-PJ-350-2016;Entregada en plazo;19 de Enero de 2016 a las 10:37;2 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-755-2016;No respondida;19 de Enero de 2016 a las 10:52;2 de Febrero de 2016
Comision Permanente de Contingencias;SOL-COPECO-89-2016;Entregada en plazo;19 de Enero de 2016 a las 11:03;2 de Febrero de 2016
Comision Permanente de Contingencias;SOL-COPECO-90-2016;Entregada en plazo;19 de Enero de 2016 a las 11:07;2 de Febrero de 2016
Secretaria de Relaciones Exteriores (SRE);SOL-SRE-77-2016;Entregada en plazo;19 de Enero de 2016 a las 15:13;2 de Febrero de 2016
ACI- PARTICIPA;SOL-ONG-18-2016;No respondida;19 de Enero de 2016 a las 15:22;2 de Febrero de 2016
Poder Judicial(PJ);SOL-PJ-351-2016;Entregada en plazo;19 de Enero de 2016 a las 15:33;2 de Febrero de 2016
Poder Judicial(PJ);SOL-PJ-352-2016;Entregada en plazo;20 de Enero de 2016 a las 09:00;4 de Febrero de 2016
Secretaria de Finanzas (SEFIN);SOL-SEFIN-216-2016;Entregada en plazo;20 de Enero de 2016 a las 10:21;3 de Febrero de 2016
Poder Judicial(PJ);SOL-PJ-354-2016;Entregada en plazo;20 de Enero de 2016 a las 11:53;4 de Febrero de 2016
Fondo Social de la Vivienda (FOSOVI);SOL-FOSOVI-2-2016;Entregada en plazo;20 de Enero de 2016 a las 13:47;3 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-756-2016;No respondida;20 de Enero de 2016 a las 13:54;3 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-757-2016;No respondida;20 de Enero de 2016 a las 17:09;3 de Febrero de 2016
Instituto Hondureno de Antropologia e Historia (IHAH);SOL-IHAH-5-2016;Entregada fuera de plazo;20 de Enero de 2016 a las 22:03;3 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-758-2016;No respondida;21 de Enero de 2016 a las 07:54;4 de Febrero de 2016
ACI- PARTICIPA;SOL-ONG-19-2016;No respondida;21 de Enero de 2016 a las 10:54;4 de Febrero de 2016
Secretaria de Estado en los Despachos de Gobernacion , Justicia, y Descentralizacion (SGJD);SOL-SDHJGD-90-2016;Entregada en plazo;21 de Enero de 2016 a las 10:59;8 de Febrero de 2016
Universidad Nacional Autonoma de Honduras (UNAH);SOL-UNAH-199-2016;No respondida;21 de Enero de 2016 a las 11:10;4 de Febrero de 2016
Secretaria de Trabajo y Seguridad Social (STSS);SOL-STSS-25-2016;Entregada en plazo;21 de Enero de 2016 a las 13:47;4 de Febrero de 2016
Poder Judicial(PJ);SOL-PJ-355-2016;Entregada en plazo;21 de Enero de 2016 a las 13:52;19 de Febrero de 2016
Secretaria de Trabajo y Seguridad Social (STSS);SOL-STSS-26-2016;Entregada en plazo;21 de Enero de 2016 a las 15:01;4 de Febrero de 2016
Banco Nacional de Desarrollo Agricola (BANADESA);SOL-BANADESA-14-2016;Entregada en plazo;21 de Enero de 2016 a las 16:41;4 de Febrero de 2016
Empresa de Correos de Honduras (HONDUCOR);SOL-HONDUCOR-3-2016;No respondida;21 de Enero de 2016 a las 19:02;4 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-759-2016;No respondida;21 de Enero de 2016 a las 22:58;4 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-760-2016;No respondida;21 de Enero de 2016 a las 22:59;4 de Febrero de 2016
Consejo Nacional Anticorrupcion (CNA);SOL-CNA-8-2016;Entregada en plazo;22 de Enero de 2016 a las 10:20;11 de Febrero de 2016
Secretaria de Finanzas (SEFIN);SOL-SEFIN-217-2016;Entregada en plazo;22 de Enero de 2016 a las 11:46;5 de Febrero de 2016
Secretaria de Recursos Naturales y Ambiente (MiAmbiente+);SOL-SERNA-19-2016;No respondida;22 de Enero de 2016 a las 13:34;16 de Febrero de 2016
Secretaria de Trabajo y Seguridad Social (STSS);SOL-STSS-27-2016;Entregada en plazo;22 de Enero de 2016 a las 13:50;5 de Febrero de 2016
Poder Judicial(PJ);SOL-PJ-356-2016;Entregada en plazo;22 de Enero de 2016 a las 14:25;8 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-761-2016;No respondida;22 de Enero de 2016 a las 16:55;5 de Febrero de 2016
Empresa Nacional Portuaria (ENP);SOL-ENP-17-2016;Entregada en plazo;22 de Enero de 2016 a las 21:00;5 de Febrero de 2016
Universidad Nacional Autonoma de Honduras (UNAH);SOL-UNAH-200-2016;No respondida;23 de Enero de 2016 a las 17:28;5 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-762-2016;No respondida;23 de Enero de 2016 a las 20:53;5 de Febrero de 2016
Comision Permanente de Contingencias;SOL-COPECO-91-2016;Entregada en plazo;25 de Enero de 2016 a las 09:21;11 de Febrero de 2016
Secretaria de Desarrollo Economico;SOL-SCDSEC-193-2016;Entregada en plazo;25 de Enero de 2016 a las 09:21;8 de Febrero de 2016
Alcaldia Municipal del Distrito Central (AMDC);SOL-AMDC-63-2016;Entregada fuera de plazo;25 de Enero de 2016 a las 10:22;8 de Febrero de 2016
Secretaria de Relaciones Exteriores (SRE);SOL-SRE-78-2016;Entregada en plazo;25 de Enero de 2016 a las 10:45;8 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-763-2016;Entregada fuera de plazo;25 de Enero de 2016 a las 10:51;8 de Febrero de 2016
Comision Permanente de Contingencias;SOL-COPECO-92-2016;Entregada en plazo;25 de Enero de 2016 a las 11:18;8 de Febrero de 2016
Poder Judicial(PJ);SOL-PJ-357-2016;Entregada en plazo;25 de Enero de 2016 a las 11:59;9 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-764-2016;Entregada fuera de plazo;25 de Enero de 2016 a las 13:23;8 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-765-2016;Entregada fuera de plazo;25 de Enero de 2016 a las 13:25;8 de Febrero de 2016
Secretaria de Estado en los Despachos de Gobernacion , Justicia, y Descentralizacion (SGJD);SOL-SDHJGD-91-2016;Entregada en plazo;25 de Enero de 2016 a las 15:58;18 de Febrero de 2016
Tribunal Supremo Electoral (TSE);SOL-TSE-11-2016;Entregada fuera de plazo;25 de Enero de 2016 a las 16:06;8 de Febrero de 2016
Presidencia de la Republica (Casa Presidencial);SOL-PRSD-40-2016;Entregada en plazo;25 de Enero de 2016 a las 16:21;12 de Julio de 2016
Congreso Nacional;SOL-CN-47-2016;No respondida;25 de Enero de 2016 a las 16:25;8 de Febrero de 2016
Poder Judicial(PJ);SOL-PJ-358-2016;Entregada en plazo;25 de Enero de 2016 a las 16:26;9 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-766-2016;No respondida;25 de Enero de 2016 a las 18:15;8 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-767-2016;No respondida;25 de Enero de 2016 a las 22:29;8 de Febrero de 2016
Secretaria de Estado en los Despachos de Gobernacion , Justicia, y Descentralizacion (SGJD);SOL-SDHJGD-92-2016;Entregada en plazo;27 de Enero de 2016 a las 09:24;23 de Febrero de 2016
Poder Judicial(PJ);SOL-PJ-359-2016;Entregada en plazo;27 de Enero de 2016 a las 10:11;11 de Febrero de 2016
Universidad Nacional Autonoma de Honduras (UNAH);SOL-UNAH-201-2016;No respondida;27 de Enero de 2016 a las 10:13;10 de Febrero de 2016
Comision Permanente de Contingencias;SOL-COPECO-93-2016;Entregada en plazo;27 de Enero de 2016 a las 13:26;10 de Febrero de 2016
Direccion de Ciencia y Tecnologia Agropecuaria (DICTA);SOL-DICTA-14-2016;No respondida;27 de Enero de 2016 a las 13:31;10 de Febrero de 2016
Consejo Nacional Supervisor de Cooperativas (CONSUCOOP);SOL-CONSUCOOP-4-2016;Entregada en plazo;27 de Enero de 2016 a las 16:00;10 de Febrero de 2016
Direccion Ejecutiva de Ingresos (DEI);SOL-DEI-148-2016;No respondida;27 de Enero de 2016 a las 16:00;10 de Febrero de 2016
Secretaria de Finanzas (SEFIN);SOL-SEFIN-218-2016;Entregada en plazo;27 de Enero de 2016 a las 16:10;10 de Febrero de 2016
Secretaria de Educacion;SOL-SDE-768-2016;No respondida;27 de Enero de 2016 a las 16:17;10 de Febrero de 2016
Secretaria de Cultura, Artes y Deportes (SCAD);SOL-SCAD-9-2016;No respondida;27 de Enero de 2016 a las 16:19;10 de Febrero de 2016
